keep_ratio,n_images,semantic_utility_score_mean,semantic_utility_score_std,semantic_utility_score_ci_low,semantic_utility_score_ci_high,detector_retention_mean,detector_retention_std,detector_retention_ci_low,detector_retention_ci_high,compression_ratio_mean,compression_ratio_std,compression_ratio_ci_low,compression_ratio_ci_high,bandwidth_saved_percent_mean,bandwidth_saved_percent_std,bandwidth_saved_percent_ci_low,bandwidth_saved_percent_ci_high,psnr_mean,psnr_std,psnr_ci_low,psnr_ci_high,ssim_mean,ssim_std,ssim_ci_low,ssim_ci_high,lpips_mean,lpips_std,lpips_ci_low,lpips_ci_high
0.1,100.0,47.575026,26.287740188677272,42.42262892301925,52.72742307698075,0.36851929999999994,0.31248447504358134,0.307272342891458,0.4297662571085419,387.0883659999999,40.25333820812908,379.1987117112066,394.9780202887932,99.73880000000001,0.030823053159293522,99.73275868158079,99.74484131841923,11.772493000000003,2.027888932579839,11.375026769214355,12.16995923078565,0.2717,0.12542186669980895,0.24711731412683743,0.29628268587316253,0.7885121999999999,0.07116098006164145,0.7745646479079181,0.8024597520920816
0.2,100.0,60.093373,22.30829143357293,55.720947879019704,64.4657981209803,0.49343591,0.2880676464916431,0.4369746512876379,0.549897168712362,261.13052200000004,26.86617735064441,255.86475123927374,266.39629276072634,99.6126,0.045474379511096806,99.60368702161583,99.62151297838417,12.922479000000001,2.348185690362505,12.46223460468895,13.382723395311052,0.41747100000000004,0.15093255855286203,0.3878882185236391,0.447053781476361,0.75339565,0.08469315054942386,0.7367957924923129,0.7699955075076871
0.3,100.0,68.595226,20.15414175672649,64.6450142156816,72.5454377843184,0.59854403,0.25894528466249095,0.5477907542061518,0.6492973057938483,202.57073799999998,20.19146119045405,198.61321160667097,206.52826439332898,99.50069999999998,0.056519505884734936,99.48962217684657,99.5117778231534,14.016725,2.605198660463305,13.506106062549192,14.527343937450807,0.5205009999999999,0.16145797682932292,0.4888552365414526,0.5521467634585472,0.73548862,0.09148775326363567,0.7175570203603274,0.7534202196396727
0.4,100.0,76.658143,16.19571087762333,73.48378366798582,79.83250233201417,0.7021727999999999,0.21586747748972696,0.6598627744120135,0.7444828255879864,168.292406,16.090243758760376,165.13871822328298,171.44609377671702,99.4002,0.06522656706055473,99.38741559285613,99.41298440714387,15.096493,2.6855105659537997,14.570132929073056,15.622853070926945,0.597051,0.16564047015305544,0.5645854678500011,0.6295165321499989,0.7222097399999999,0.09583938915534203,0.7034252197255529,0.7409942602744469
0.5,100.0,82.53554499999998,13.742237471654626,79.84206645555568,85.22902354444429,0.78337905,0.17879663681781355,0.7483349091837085,0.8184231908162914,145.363563,13.245044595801811,142.76753425922286,147.95959174077714,99.30569999999997,0.07174949406783244,99.29163709916268,99.31976290083726,16.150415,2.804695263965788,15.600694728262704,16.70013527173729,0.653145,0.167542257823409,0.6203067174666118,0.6859832825333881,0.71140519,0.0984419308484223,0.6921105715537093,0.7306998084462908
0.6,100.0,85.72701199999997,12.58664111497695,83.26003034146449,88.19399365853546,0.8371131000000002,0.15712295352337635,0.8063170011094184,0.8679091988905819,128.951234,11.234337355249734,126.74930387837105,131.15316412162895,99.21809999999998,0.0768008706810915,99.20304702934648,99.23315297065348,17.173299999999998,2.8062382584578103,16.623277301342267,17.72332269865773,0.6966209999999999,0.16193618227654694,0.6648815082737968,0.7283604917262031,0.7013510699999999,0.09809404776465103,0.6821246366381283,0.7205775033618714
0.7,100.0,88.59741200000002,11.80414685009647,86.28379921738112,90.91102478261892,0.8781214599999998,0.14029863910622578,0.8506229267351796,0.90561999326482,116.85439099999999,9.806198507788867,114.93237609247338,118.77640590752661,99.13770000000001,0.08108923878335864,99.12180650919846,99.15359349080155,18.153267,2.7881198193915266,17.60679551539926,18.69973848460074,0.7327959999999999,0.15088054671752013,0.703223412843366,0.7623685871566338,0.6917823700000001,0.09586301247383523,0.6729932195551284,0.7105715204448718
0.8,100.0,90.49034000000002,10.379284530158126,88.45600023208902,92.52467976791101,0.9067736,0.12363606595426137,0.8825409310729647,0.9310062689270352,107.77469700000003,8.615080354778119,106.08614125046353,109.46325274953654,99.06609999999999,0.08263214088398436,99.04990410038673,99.08229589961326,19.141963000000004,2.660405009026166,18.620523618230877,19.66340238176913,0.766345,0.12988564230028496,0.7408874141091442,0.791802585890856,0.6826757700000003,0.09078845920114671,0.6648812319965756,0.7004703080034251
0.9,100.0,91.06674699999999,9.775434730981935,89.15076179272754,92.98273220727245,0.9177596400000002,0.11532480095032782,0.895155979013736,0.9403633009862644,101.27637200000001,7.852123360538032,99.73735582133456,102.81538817866546,99.00619999999999,0.08319115143311547,98.9898945343191,99.02250546568088,20.141291,2.5767716630414768,19.63624375404387,20.646338245956127,0.797499,0.10029780352993425,0.7778406305081328,0.8171573694918671,0.6743877899999998,0.08445254662160666,0.657835090862165,0.6909404891378347
1.0,100.0,92.808197,8.746968003776042,91.0937912712599,94.52260272874011,0.94717999,0.09462356326080526,0.9286337716008821,0.9657262083991178,99.08310500000002,7.420804122364368,97.6286273920166,100.53758260798344,98.98459999999999,0.07980304037143703,98.96895860408719,99.00024139591278,21.978211999999996,2.6335599543177026,21.462034248953724,22.494389751046267,0.842059,0.05667460567381857,0.8309507772879315,0.8531672227120685,0.6702240099999999,0.08073015457064292,0.6544008997041538,0.6860471202958459
