bandwidth_saved_percent,compression_ratio,detector_retention,image,image_index,method,object_retention,payload_bytes,psnr,raw_rgb_bytes,region_preservation,relevance_retention,semantic_utility_score,ssim
95.00414530436197,20.016594975692943,0.9743011593818665,datasets\sentinel2_500_patch\images\sentinel2_patch_00000.png,0,jpeg2000_rate_20,0.9,39289,37.94484943777651,786432,0.8844765342960289,0.9752094149589539,94.32100001741405,0.9897436337620358
98.08438618977866,52.202588781944904,0.9990965723991394,datasets\sentinel2_500_patch\images\sentinel2_patch_00000.png,0,ccsds_wavelet_proxy_q24,0.7,15065,27.571140418359757,786432,1.0,1.0,90.96386289596559,0.914675279748719
94.9981689453125,19.99267846247712,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00001.png,1,jpeg2000_rate_20,1.0,39336,37.06074737821127,786432,1.0,1.0,100.0,0.9898084477884166
97.42838541666666,38.88607594936709,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00001.png,1,ccsds_wavelet_proxy_q24,0.55,20224,27.172016158178,786432,1.0,1.0,86.50000000000003,0.9247308770586703
95.00083923339844,20.003357497138495,0.9907052516937256,datasets\sentinel2_500_patch\images\sentinel2_patch_00002.png,2,jpeg2000_rate_20,0.8260869565217391,39315,37.270794223175855,786432,0.9660908509277031,0.9911491870880127,93.8947110144385,0.9903409682182678
97.54740397135416,40.77312318540025,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00002.png,2,ccsds_wavelet_proxy_q24,0.5217391304347826,19288,27.265838873582897,786432,1.0,1.0,85.6521739130435,0.9264919857107821
95.02716064453125,20.10923596195152,0.9670900702476501,datasets\sentinel2_500_patch\images\sentinel2_patch_00003.png,3,jpeg2000_rate_20,1.0,39108,38.279808495485995,786432,0.8892921960072595,0.9687971472740173,96.95246771545897,0.9888226523060235
98.3709971110026,61.38724533603934,0.9957336783409119,datasets\sentinel2_500_patch\images\sentinel2_patch_00003.png,3,ccsds_wavelet_proxy_q24,0.6666666666666666,12811,27.774456064965086,786432,1.0,1.0,89.82934713363649,0.9018755359439711
95.02894083658853,20.116437304957284,0.9647641777992249,datasets\sentinel2_500_patch\images\sentinel2_patch_00004.png,4,jpeg2000_rate_20,0.8571428571428571,39094,38.320632395820944,786432,0.8981481481481481,0.9664350152015686,92.61503461176758,0.9888542489100063
98.382568359375,61.82641509433962,0.9824998378753662,datasets\sentinel2_500_patch\images\sentinel2_patch_00004.png,4,ccsds_wavelet_proxy_q24,0.5714285714285714,12720,27.77936677372523,786432,1.0,1.0,86.4428506578718,0.9018034193556862
95.00172932942709,20.006919711000304,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00005.png,5,jpeg2000_rate_20,0.9375,39308,30.153848197848873,786432,1.0,1.0,98.12500000000001,0.9912382068001124
92.4224853515625,13.196939186467983,0.9221899509429932,datasets\sentinel2_500_patch\images\sentinel2_patch_00005.png,5,ccsds_wavelet_proxy_q24,0.84375,59592,25.109584482553963,786432,0.7548593694016481,0.9298362135887146,88.34541600351051,0.9765668409726641
94.99956766764322,19.998270820089,0.9458388090133667,datasets\sentinel2_500_patch\images\sentinel2_patch_00006.png,6,jpeg2000_rate_20,0.9310344827586207,39325,29.147467892790768,786432,0.811191683650094,0.9551194310188293,92.97889230017084,0.991272715630668
91.22886657714844,11.401035097638411,0.907401978969574,datasets\sentinel2_500_patch\images\sentinel2_patch_00006.png,6,ccsds_wavelet_proxy_q24,0.5517241379310345,68979,24.80650130601007,786432,0.7544275400097951,0.9273236393928528,78.93855148466902,0.9798132722766706
95.00096638997397,20.00386630716793,0.9799036383628845,datasets\sentinel2_500_patch\images\sentinel2_patch_00007.png,7,jpeg2000_rate_20,0.967741935483871,39314,29.34529254126247,786432,1.0,1.0,98.22840359903154,0.9915146593056862
91.46957397460938,11.72274394061354,0.8824877738952637,datasets\sentinel2_500_patch\images\sentinel2_patch_00007.png,7,ccsds_wavelet_proxy_q24,0.5806451612903226,67086,24.85965517518498,786432,0.6575664216209621,0.8930848240852356,77.15622649243457,0.9797779757825598
95.00007629394531,20.000305180437934,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00008.png,8,jpeg2000_rate_20,0.96875,39321,30.645043360426012,786432,0.9163668129536804,0.9834455847740173,97.89507982501716,0.9902104029095457
92.96239217122397,14.209373757814475,0.8517940640449524,datasets\sentinel2_500_patch\images\sentinel2_patch_00008.png,8,ccsds_wavelet_proxy_q24,0.8125,55346,25.21860286728497,786432,0.5342457205848707,0.8535933494567871,80.86108675678256,0.9713064970982499
95.00783284505209,20.03138053998981,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00009.png,9,jpeg2000_rate_20,0.9166666666666666,39260,30.683997332853924,786432,1.0,1.0,97.50000000000001,0.9900777873426897
93.08052062988281,14.451954352500138,0.8489412069320679,datasets\sentinel2_500_patch\images\sentinel2_patch_00009.png,9,ccsds_wavelet_proxy_q24,0.5833333333333334,54417,25.24912841763342,786432,0.5298528606236896,0.8510749936103821,73.77767675572726,0.970805768606444
95.01825968424478,20.073306447496044,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00010.png,10,jpeg2000_rate_20,1.0,39178,39.82508456519417,786432,1.0,1.0,100.0,0.9911126341263868
98.59046936035156,70.94560216508796,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00010.png,10,ccsds_wavelet_proxy_q24,1.0,11085,29.184448159362915,786432,0.9518987341772152,1.0,99.51898734177217,0.9138619820697935
95.00300089518228,20.01201078935315,0.9840214848518372,datasets\sentinel2_500_patch\images\sentinel2_patch_00011.png,11,jpeg2000_rate_20,0.5,39298,39.551033336418854,786432,0.9512195121951219,0.9829262495040894,83.5315795061065,0.9908585422625371
98.53846232096353,68.42108926396381,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00011.png,11,ccsds_wavelet_proxy_q24,0.0,11494,29.11060969245073,786432,1.0,1.0,70.0,0.9124169596637254
95.00096638997397,20.00386630716793,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00012.png,12,jpeg2000_rate_20,0.8,39314,40.166586086564344,786432,1.0,1.0,94.00000000000001,0.9993013057236109
98.46445719401041,65.12355084465055,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00012.png,12,ccsds_wavelet_proxy_q24,1.0,12076,28.861154014069214,786432,1.0,1.0,100.0,0.9912600888520029
95.02588907877603,20.104095301395777,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00013.png,13,jpeg2000_rate_20,1.0,39118,40.000055376619684,786432,1.0,1.0,100.0,0.9993976352632473
98.28147888183594,58.189567147613765,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00013.png,13,ccsds_wavelet_proxy_q24,1.0,13515,28.7058136856799,786432,1.0,1.0,100.0,0.9925006894977831
95.00885009765625,20.03546316111281,0.996012806892395,datasets\sentinel2_500_patch\images\sentinel2_patch_00014.png,14,jpeg2000_rate_20,1.0,39252,37.35398703636596,786432,1.0,0.9930445551872253,99.70140337944032,0.9926515188077693
97.53303527832031,40.535642492655015,0.8304899334907532,datasets\sentinel2_500_patch\images\sentinel2_patch_00014.png,14,ccsds_wavelet_proxy_q24,0.0,19401,27.86197026571955,786432,0.6498470948012233,0.8787025213241577,57.29211871412553,0.9413711647698748
95.01558939615884,20.062552616138166,0.9979092478752136,datasets\sentinel2_500_patch\images\sentinel2_patch_00015.png,15,jpeg2000_rate_20,1.0,39199,39.171388174960946,786432,0.9731285988483686,0.9981415271759033,99.61048644701032,0.9933309972745393
98.07688395182291,51.998942078815126,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00015.png,15,ccsds_wavelet_proxy_q24,1.0,15124,28.80259454622044,786432,0.9884836852207294,1.0,99.88483685220733,0.9374376336226368
95.00338236490884,20.013538618144803,0.9948473572731018,datasets\sentinel2_500_patch\images\sentinel2_patch_00016.png,16,jpeg2000_rate_20,1.0,39295,39.37023126689449,786432,0.9850746268656716,0.9952132701873779,99.54890596332837,0.9934527064790051
98.07281494140625,51.88915281076801,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00016.png,16,ccsds_wavelet_proxy_q24,1.0,15156,28.88375077498591,786432,0.9832089552238806,1.0,99.83208955223884,0.9372140553287599
95.00083923339844,20.003357497138495,0.9050517082214355,datasets\sentinel2_500_patch\images\sentinel2_patch_00017.png,17,jpeg2000_rate_20,1.0,39315,37.616767182019586,786432,0.4600405679513185,0.8988257646560669,88.77898930149196,0.9885775270109678
98.03428649902344,50.87211333203959,0.9217826128005981,datasets\sentinel2_500_patch\images\sentinel2_patch_00017.png,17,ccsds_wavelet_proxy_q24,0.75,15459,28.060668911862415,786432,0.5419878296146045,0.9571985602378845,83.93515401292767,0.917160718559462
95.01215616861978,20.048743180543518,0.9288947582244873,datasets\sentinel2_500_patch\images\sentinel2_patch_00018.png,18,jpeg2000_rate_20,1.0,39226,37.25078857791368,786432,0.7029977794226498,0.919870138168335,92.5831708865727,0.9881907538612691
97.96231587727866,49.075319812792515,0.828095018863678,datasets\sentinel2_500_patch\images\sentinel2_patch_00018.png,18,ccsds_wavelet_proxy_q24,1.0,16025,27.95371358149048,786432,0.19152479644707623,0.857772707939148,82.19450287780087,0.9220367764830886
95.00007629394531,20.000305180437934,0.9903192520141602,datasets\sentinel2_500_patch\images\sentinel2_patch_00019.png,19,jpeg2000_rate_20,1.0,39321,38.2885313440891,786432,0.9841260611699035,0.9858850836753845,99.17173236577315,0.9985078105261851
98.22095235188803,56.2098491887642,0.9541245102882385,datasets\sentinel2_500_patch\images\sentinel2_patch_00019.png,19,ccsds_wavelet_proxy_q24,0.5714285714285714,13991,28.080306165408725,786432,0.88923130596581,0.9684639573097229,83.56942976023927,0.9877911594691987
95.0110117594401,20.044144258952468,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00020.png,20,jpeg2000_rate_20,0.8571428571428571,39235,38.16820896273367,786432,1.0,0.9992721676826477,95.69972906793868,0.9987145337321808
98.03632100423178,50.92482030693518,0.968325674533844,datasets\sentinel2_500_patch\images\sentinel2_patch_00020.png,20,ccsds_wavelet_proxy_q24,0.5714285714285714,15443,27.97425000773144,786432,0.911335853502872,0.9877077341079712,84.74339734139907,0.9891087399957754
95.00783284505209,20.03138053998981,0.9872584939002991,datasets\sentinel2_500_patch\images\sentinel2_patch_00021.png,21,jpeg2000_rate_20,1.0,39260,34.895265152336904,786432,0.7900928792569659,0.9806275963783264,97.00382047614818,0.9896140781317021
96.66213989257812,29.959314285714285,0.9291601777076721,datasets\sentinel2_500_patch\images\sentinel2_patch_00021.png,21,ccsds_wavelet_proxy_q24,0.7142857142857143,26250,26.84232653356759,786432,0.8411145510835913,0.9627394676208496,86.26091340013123,0.9448042672434197
95.00071207682291,20.002848712992165,0.9485542178153992,datasets\sentinel2_500_patch\images\sentinel2_patch_00022.png,22,jpeg2000_rate_20,0.875,39316,36.873073654292114,786432,0.8951125755079626,0.9467389583587646,92.0780736348709,0.990767009105242
97.45839436848959,39.345207124274566,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00022.png,22,ccsds_wavelet_proxy_q24,0.875,19988,27.743658877956804,786432,1.0,1.0,96.25000000000001,0.9371880585835647
95.00478108723959,20.019142653497607,0.9281561374664307,datasets\sentinel2_500_patch\images\sentinel2_patch_00023.png,23,jpeg2000_rate_20,1.0,39284,37.07948588710062,786432,0.8527746319365799,0.9281327128410339,94.21664607484374,0.9910307567412
97.46487935384116,39.445854441490695,1.0,datasets\sentinel2_500_patch\images\sentinel2_patch_00023.png,23,ccsds_wavelet_proxy_q24,1.0,19937,27.813997279909493,786432,1.0,1.0,100.0,0.9359673471611865
95.00414530436197,20.016594975692943,0.9977605938911438,datasets\sentinel2_500_patch\images\sentinel2_patch_00024.png,24,jpeg2000_rate_20,1.0,39289,35.712031749909215,786432,1.0,0.9961680173873901,99.83378410339357,0.9629216454548027
98.16118876139322,54.38296106769933,0.8953754901885986,datasets\sentinel2_500_patch\images\sentinel2_patch_00024.png,24,ccsds_wavelet_proxy_q24,1.0,14461,27.82484393903465,786432,1.0,0.8695580959320068,93.2061815261841,0.8116712885054426
