bandwidth_saved_percent_ci_high,bandwidth_saved_percent_ci_low,bandwidth_saved_percent_mean,bandwidth_saved_percent_std,compression_ratio_ci_high,compression_ratio_ci_low,compression_ratio_mean,compression_ratio_std,detector_retention_ci_high,detector_retention_ci_low,detector_retention_mean,detector_retention_std,method,n_images,psnr_ci_high,psnr_ci_low,psnr_mean,psnr_std,semantic_utility_score_ci_high,semantic_utility_score_ci_low,semantic_utility_score_mean,semantic_utility_score_std,ssim_ci_high,ssim_ci_low,ssim_mean,ssim_std
93.622229,93.05915,93.34069,3.211944,26.886045,20.967478,23.926762,33.761014,0.886877,0.87482,0.880848,0.068779,ccsds_wavelet_proxy_q24,500,25.479193,25.229086,25.354139,1.426672,83.616632,81.859409,82.738021,10.023647,0.937442,0.930332,0.933887,0.04056
95.011876,95.00973,95.010803,0.012241,20.047751,20.039101,20.043426,0.049342,0.966825,0.960753,0.963789,0.034638,jpeg2000_rate_20,500,31.259232,30.615453,30.937343,3.672281,95.537598,94.764171,95.150884,4.411825,0.979256,0.977512,0.978384,0.009947
