dataset,checkpoint,image,semantic_utility_score,detector_retention,object_retention,relevance_retention,region_preservation,psnr,ssim,lpips,compression_ratio,bandwidth_saved_percent,semantic_token_count,total_token_count,inference_latency_ms
cems_hls,original,0302bae17f987bedfd192b18bed9c15afda422ca_satellite.tif,79.39322711629345,0.723657488822937,1.0,0.7109941244125366,0.6227045075125208,24.505638992863542,0.9787148481376543,,638.1098403107467,99.84328716831682,3277,4096,961.5608000021894
cems_hls,cems_only,0302bae17f987bedfd192b18bed9c15afda422ca_satellite.tif,91.49333430849055,0.871471107006073,1.0,0.8609398603439331,0.9415692821368948,24.29314088390886,0.9787443802265368,,659.01515489191,99.84825842128562,3277,4096,590.3172999969684
cems_hls,mixed_domain,0302bae17f987bedfd192b18bed9c15afda422ca_satellite.tif,96.88816890294646,0.9504345655441284,1.0,0.9485476613044739,0.989983305509182,24.09669486525971,0.9793613893147278,,653.1921802518224,99.84690569938934,3277,4096,568.6439000055543
cems_hls,mixed_regularized,0302bae17f987bedfd192b18bed9c15afda422ca_satellite.tif,100.0,1.0,1.0,1.0,1.0,24.456295667017308,0.979906241718393,,651.7524796120784,99.84656751891528,3277,4096,547.5139000045601
cems_hls,original,0338456606877f2018b070a8a06804b9fc70765a_satellite.tif,96.054119752801,0.9682682752609253,0.9565217391304348,0.9636133909225464,0.935546875,21.122929285837365,0.9102064365323296,,580.0531007751938,99.82760199046197,3277,4096,503.05040000239387
cems_hls,cems_only,0338456606877f2018b070a8a06804b9fc70765a_satellite.tif,100.0,1.0,1.0,1.0,1.0,21.129000869310058,0.9093128335199345,,569.56688867745,99.82442799610033,3277,4096,499.43509999866365
cems_hls,mixed_domain,0338456606877f2018b070a8a06804b9fc70765a_satellite.tif,99.62475776672366,1.0,1.0,0.9997925758361816,0.962890625,21.127710674994532,0.9075425000037644,,564.0923482849604,99.82272406228513,3277,4096,484.150000003865
cems_hls,mixed_regularized,0338456606877f2018b070a8a06804b9fc70765a_satellite.tif,98.69565217391306,1.0,0.9565217391304348,1.0,1.0,21.266038133425983,0.9083335179591467,,566.3337748344371,99.8234256820914,3277,4096,482.9662999982247
cems_hls,original,03ba6769b8337f17cc86419368b478640ff8b57f_satellite.tif,92.25806451612904,1.0,0.7419354838709677,1.0,1.0,19.421027034470068,0.8837709007716313,,550.5901859306115,99.81837671183517,3277,4096,504.1332000037073
cems_hls,cems_only,03ba6769b8337f17cc86419368b478640ff8b57f_satellite.tif,99.03225806451614,1.0,0.967741935483871,1.0,1.0,19.45897870420358,0.8852842178704976,,542.2746837832735,99.8155916125342,3277,4096,494.22929999855114
cems_hls,mixed_domain,03ba6769b8337f17cc86419368b478640ff8b57f_satellite.tif,98.00528407096863,0.9688654541969299,1.0,0.9625332951545715,1.0,19.800750256078995,0.8893833809901291,,539.7273581360391,99.81472126900265,3277,4096,530.8216999983415
cems_hls,mixed_regularized,03ba6769b8337f17cc86419368b478640ff8b57f_satellite.tif,99.41111087799074,0.9933775067329407,1.0,0.9838005304336548,1.0,20.040746272501195,0.8917761328783379,,539.9302631578947,99.81479089648518,3277,4096,562.8662999952212
cems_hls,original,04bca85f1957d7094686145324a8e543436eced9_satellite.tif,93.47826086956523,1.0,0.782608695652174,1.0,1.0,19.5471139313433,0.8538731191700891,,545.8724177505738,99.81680701067096,3277,4096,578.8902999993297
cems_hls,cems_only,04bca85f1957d7094686145324a8e543436eced9_satellite.tif,93.47826086956523,1.0,0.782608695652174,1.0,1.0,19.592125658714483,0.8479058923413458,,534.4234082397004,99.81288244777791,3277,4096,528.610800000024
cems_hls,mixed_domain,04bca85f1957d7094686145324a8e543436eced9_satellite.tif,100.0,1.0,1.0,1.0,1.0,19.614150365898716,0.8464364592183109,,529.9574744661096,99.81130561447267,3277,4096,547.9314999975031
cems_hls,mixed_regularized,04bca85f1957d7094686145324a8e543436eced9_satellite.tif,97.39130434782611,1.0,0.9130434782608695,1.0,1.0,19.56392480513104,0.8496802627611452,,530.0559063893016,99.81134065521279,3277,4096,553.6062000028323
cems_hls,original,059b514d21a7482d3e54de423c63b051b96a533e_satellite.tif,100.0,1.0,1.0,1.0,1.0,16.44870731516185,0.7429955936274382,,522.5920425375871,99.80864614869674,3277,4096,642.51030000014
cems_hls,cems_only,059b514d21a7482d3e54de423c63b051b96a533e_satellite.tif,100.0,1.0,1.0,1.0,1.0,17.269769670107497,0.776622669693446,,510.8831331779889,99.80426051770796,3277,4096,562.3408000028576
cems_hls,mixed_domain,059b514d21a7482d3e54de423c63b051b96a533e_satellite.tif,100.0,1.0,1.0,1.0,1.0,17.452987286340026,0.7781958958616171,,509.969046341027,99.80390966722884,3277,4096,541.9167000000016
cems_hls,mixed_regularized,059b514d21a7482d3e54de423c63b051b96a533e_satellite.tif,100.0,1.0,1.0,1.0,1.0,17.461665213553424,0.7776122406676677,,507.3365966536134,99.80289220083944,3277,4096,549.9135999998543
cems_hls,original,07849dcf5b7480d15db8890f015522011ce38868_satellite.tif,85.37022148861607,0.9961883425712585,0.5294117647058824,0.9820167422294617,1.0,19.24782438233622,0.8840047926312689,,559.0131941709334,99.82111334572646,3277,4096,533.900000002177
cems_hls,cems_only,07849dcf5b7480d15db8890f015522011ce38868_satellite.tif,94.51887369155885,0.9145998954772949,1.0,0.907974362373352,0.9775390625,19.00297468833394,0.8859152537579271,,548.5350724637681,99.81769625130651,3277,4096,517.7831999972113
cems_hls,mixed_domain,07849dcf5b7480d15db8890f015522011ce38868_satellite.tif,94.78978991508485,0.9213129878044128,1.0,0.9154182076454163,0.962890625,19.12506296890119,0.8861361694141441,,542.9741775057383,99.81582917909768,3277,4096,535.546200000681
cems_hls,mixed_regularized,07849dcf5b7480d15db8890f015522011ce38868_satellite.tif,98.1694281101227,0.9719657897949219,1.0,0.9645398259162903,1.0,19.365321736794375,0.8898721730671467,,543.4939689833429,99.81600531798529,3277,4096,525.4571999976179
cems_hls,original,0868a5a61f73aa0214d4f02f140c09ab7af18801_satellite.tif,100.0,1.0,1.0,1.0,1.0,11.073793590364886,0.3211305725068627,,561.8727168949772,99.82202374845211,3277,4096,528.0763000046136
cems_hls,cems_only,0868a5a61f73aa0214d4f02f140c09ab7af18801_satellite.tif,97.18750000000001,1.0,0.90625,1.0,1.0,19.221474702803235,0.8926888848935691,,555.5310383747178,99.81999205608284,3277,4096,518.4614000027068
cems_hls,mixed_domain,0868a5a61f73aa0214d4f02f140c09ab7af18801_satellite.tif,91.33323669433594,0.9360313415527344,0.84375,0.9289741516113281,1.0,19.744662932251565,0.8956374270671953,,549.6376326074818,99.81806194833203,3277,4096,515.5089000036241
cems_hls,mixed_regularized,0868a5a61f73aa0214d4f02f140c09ab7af18801_satellite.tif,99.06250000000001,1.0,0.96875,1.0,1.0,11.053069910581229,0.2894601367113776,,546.5857856746252,99.8170461021474,3277,4096,515.2104000007967
cems_hls,original,090cf934a893bc7c5d9d6927a38bd55152b97c03_satellite.tif,100.0,1.0,1.0,1.0,1.0,21.40660180364754,0.9517979072573359,,568.5826249222475,99.82412406637702,3277,4096,489.50370000238763
cems_hls,cems_only,090cf934a893bc7c5d9d6927a38bd55152b97c03_satellite.tif,100.0,1.0,1.0,1.0,1.0,21.73295692679406,0.9539553620811131,,551.8764338901187,99.81880001779545,3277,4096,471.85150000586873
cems_hls,mixed_domain,090cf934a893bc7c5d9d6927a38bd55152b97c03_satellite.tif,99.46094036102296,0.9917329549789429,1.0,0.9920225143432617,0.9951171875,21.635956119945014,0.9531596720372888,,548.235505797681,99.81759663695166,3277,4096,471.2779999972554
cems_hls,mixed_regularized,090cf934a893bc7c5d9d6927a38bd55152b97c03_satellite.tif,100.0,1.0,1.0,1.0,1.0,21.572118430032322,0.9520726280216679,,553.5474364150182,99.81934700908808,3277,4096,573.5558000014862
cems_hls,original,0d3c84ef13dd48f7b3ee33cc192ae8d06ee506a5_satellite.tif,93.1818181818182,1.0,0.7727272727272727,1.0,1.0,17.99421766992547,0.8363130246992648,,524.4259702041567,99.80931531678138,3277,4096,535.4506000003312
cems_hls,cems_only,0d3c84ef13dd48f7b3ee33cc192ae8d06ee506a5_satellite.tif,100.0,1.0,1.0,1.0,1.0,18.55124573672501,0.8359360764583867,,515.6065099457504,99.80605365124168,3277,4096,520.2829999980167
