bandwidth_saved_percent_ci_high,bandwidth_saved_percent_ci_low,bandwidth_saved_percent_mean,bandwidth_saved_percent_std,compression_ratio_ci_high,compression_ratio_ci_low,compression_ratio_mean,compression_ratio_std,detector_retention_ci_high,detector_retention_ci_low,detector_retention_mean,detector_retention_std,keep_ratio,lpips_ci_high,lpips_ci_low,lpips_mean,lpips_std,n_images,psnr_ci_high,psnr_ci_low,psnr_mean,psnr_std,semantic_utility_score_ci_high,semantic_utility_score_ci_low,semantic_utility_score_mean,semantic_utility_score_std,ssim_ci_high,ssim_ci_low,ssim_mean,ssim_std,variant
98.961554,98.946966,98.95426,0.083212,97.883231,95.40036,96.641795,14.162933,0.913545,0.889445,0.901495,0.137475,0.8,0.607849,0.593469,0.600659,0.082032,500,20.412416,19.845516,20.128966,3.233742,90.041802,87.896904,88.969353,12.235046,0.815447,0.790595,0.803021,0.141762,full_detail_aware
98.962155,98.947525,98.95484,0.083451,97.988786,95.462372,96.725579,14.411313,0.916213,0.892274,0.904243,0.136553,0.8,0.609212,0.594757,0.601985,0.082456,500,20.347316,19.774145,20.060731,3.269514,90.349859,88.224059,89.286959,12.126107,0.812584,0.786885,0.799734,0.146595,without_detail_term
