epoch,mean_loss,samples
1,0.023311921185813843,100
2,0.011735298198182136,100
3,0.009835169517900795,100
4,0.007968078454723582,100
5,0.0067605982057284564,100
6,0.005886499887565151,100
7,0.005187605425599031,100
8,0.0046736327727558095,100
9,0.004237757443333976,100
10,0.004011540036299266,100
