dataset,checkpoint,image,semantic_utility_score,detector_retention,object_retention,relevance_retention,region_preservation,psnr,ssim,lpips,compression_ratio,bandwidth_saved_percent,semantic_token_count,total_token_count,inference_latency_ms
sentinel2_patches,original,sentinel2_patch_00000.png,82.13963194897302,0.7648093104362488,1.0,0.7747313976287842,0.6052631578947368,19.28652305826524,0.768215702973296,,61.38396111786148,98.37090995467051,819,1024,1382.9602000041632
sentinel2_patches,mixed_regularized,sentinel2_patch_00000.png,79.92080349671214,0.7436908483505249,1.0,0.7718163728713989,0.47368421052631576,23.109995659616274,0.8426616686218004,,60.50179640718563,98.34715651537046,819,1024,229.2749999978696
sentinel2_patches,original,sentinel2_patch_00001.png,93.58414239482204,1.0,0.8055555555555556,1.0,0.941747572815534,20.75147340974723,0.810382512431622,,61.53627394080093,98.3749422316957,819,1024,114.68470000545494
sentinel2_patches,mixed_regularized,sentinel2_patch_00001.png,80.02515741922323,0.7737268209457397,0.9166666666666666,0.7948236465454102,0.5679611650485437,23.265112859232037,0.8372529607022856,,60.276861853325755,98.34098861610721,819,1024,121.20280000090133
sentinel2_patches,original,sentinel2_patch_00002.png,95.20000000000002,1.0,0.84,1.0,1.0,24.581619151190537,0.9040528295206003,,59.51116199198626,98.31964296019852,819,1024,130.6241999991471
sentinel2_patches,mixed_regularized,sentinel2_patch_00002.png,82.92202805811817,0.860552191734314,0.76,0.8741059303283691,0.8217821782178217,26.68941399811784,0.917827439232756,,58.737853107344634,98.29752034318912,819,1024,114.17559999972582
sentinel2_patches,original,sentinel2_patch_00003.png,87.50000000000003,1.0,0.5833333333333334,1.0,1.0,24.42386174376717,0.9051555121878078,,59.64343786295006,98.32336961813331,819,1024,122.52040000021225
sentinel2_patches,mixed_regularized,sentinel2_patch_00003.png,83.5017835010182,0.8894216418266296,0.7083333333333334,0.9019277095794678,0.8636363636363636,26.80527155236193,0.9238076004063572,,59.06037952846464,98.30681751796389,819,1024,125.3498000005493
sentinel2_patches,original,sentinel2_patch_00004.png,91.00000000000001,1.0,0.7,1.0,1.0,22.400578709369256,0.8812126733427247,,60.83293838862559,98.3561537113141,819,1024,113.38999999861699
sentinel2_patches,mixed_regularized,sentinel2_patch_00004.png,83.40850094745036,0.8392611742019653,0.8,0.8445342779159546,0.8947368421052632,25.102056277451396,0.9002042813520736,,59.32177931831311,98.31427848002649,819,1024,111.1693999991985
sentinel2_patches,original,sentinel2_patch_00005.png,73.1284557432818,0.8053079843521118,0.71875,0.8108770847320557,0.3136094674556213,21.996992581020013,0.8564088387933169,,59.2019906323185,98.31086760880959,819,1024,110.93670000263955
sentinel2_patches,mixed_regularized,sentinel2_patch_00005.png,72.60870070852474,0.6941812038421631,0.875,0.7047205567359924,0.44970414201183434,23.143479497265368,0.867696537581436,,58.21358664363846,98.28218796048142,819,1024,112.23199999949429
sentinel2_patches,original,sentinel2_patch_00006.png,95.28494505172083,0.9649825692176819,1.0,0.9672608375549316,0.7340425531914894,21.189881231744565,0.8433861707103102,,60.45374707259953,98.34584281632851,819,1024,111.05420000239974
sentinel2_patches,mixed_regularized,sentinel2_patch_00006.png,80.87960212788686,0.7199335098266602,1.0,0.7317726612091064,0.7446808510638298,21.510738194874026,0.8401902401585358,,59.857971014492755,98.32937872258002,819,1024,107.95520000101533
sentinel2_patches,original,sentinel2_patch_00007.png,93.81485882012743,0.9349094033241272,1.0,0.9404893517494202,0.7608695652173914,19.800467084747446,0.8024814314978206,,61.58004778972521,98.37609739535334,819,1024,108.71319999569096
sentinel2_patches,mixed_regularized,sentinel2_patch_00007.png,73.6056235043899,0.6206855773925781,1.0,0.6345621943473816,0.6086956521739131,21.874717032636994,0.8470792160429141,,60.53141514973576,98.34796527137799,819,1024,107.16840000532102
sentinel2_patches,original,sentinel2_patch_00008.png,92.00831333796185,0.9201393723487854,1.0,0.9268035888671875,0.6666666666666666,20.177464843122088,0.8033257228748248,,60.462314540059346,98.34607720923842,819,1024,109.25719999795547
sentinel2_patches,mixed_regularized,sentinel2_patch_00008.png,67.03692013142157,0.5448527932167053,1.0,0.5611600279808044,0.4019607843137255,21.475702432533335,0.8337464395698124,,59.54354178842782,98.3205567388765,819,1024,107.75360000116052
sentinel2_patches,original,sentinel2_patch_00009.png,78.68558638557617,0.7640793919563293,0.9545454545454546,0.765606701374054,0.41739130434782606,20.013885014596255,0.7958958437738581,,61.87138461538461,98.38374394525616,819,1024,107.44590000103926
sentinel2_patches,mixed_regularized,sentinel2_patch_00009.png,69.7600231707803,0.6668134331703186,0.8181818181818182,0.6749276518821716,0.5043478260869565,25.34825718090698,0.8722273209652918,,59.35123966942149,98.31511522662396,819,1024,119.67300000105752
