bandwidth_saved_percent,compression_ratio,detector_retention,energy_j,image,keep_ratio,lpips,method,object_retention,psnr,region_preservation,relevance_retention,semantic_utility_score,ssim
99.76,414.2557,0.295811,6.308178,datasets\sentinel2_100_patch\images\sentinel2_cems_0088.png,0.1,0.8213,utility_aware_10,0.954545,12.2585,0.207031,0.297713,48.4934,0.3587
99.65,284.0791,0.45296,6.409029,datasets\sentinel2_100_patch\images\sentinel2_cems_0088.png,0.2,0.80067,utility_aware_20,0.772727,13.9995,0.412109,0.447276,54.3668,0.561
99.55,222.0634,0.567851,6.481658,datasets\sentinel2_100_patch\images\sentinel2_cems_0088.png,0.3,0.774045,utility_aware_30,1.0,15.7638,0.553711,0.569422,69.6396,0.7043
99.45,182.6289,0.818584,6.646019,datasets\sentinel2_100_patch\images\sentinel2_cems_0088.png,0.4,0.770541,utility_aware_40,1.0,17.7334,0.821289,0.83094,87.5751,0.791
99.36,155.951,0.976864,6.613091,datasets\sentinel2_100_patch\images\sentinel2_cems_0088.png,0.5,0.757418,utility_aware_50,1.0,19.1743,0.952148,0.958694,97.7699,0.8351
99.27,137.6444,1.0,7.380201,datasets\sentinel2_100_patch\images\sentinel2_cems_0088.png,0.6,0.749791,utility_aware_60,0.954545,20.1516,1.0,1.0,98.6364,0.8549
99.19,123.9469,1.0,6.812295,datasets\sentinel2_100_patch\images\sentinel2_cems_0088.png,0.7,0.740717,utility_aware_70,0.863636,20.58,1.0,1.0,95.9091,0.8662
99.12,113.7816,1.0,6.727481,datasets\sentinel2_100_patch\images\sentinel2_cems_0088.png,0.8,0.736914,utility_aware_80,0.772727,20.9293,1.0,1.0,93.1818,0.876
99.06,106.0125,1.0,6.81122,datasets\sentinel2_100_patch\images\sentinel2_cems_0088.png,0.9,0.729384,utility_aware_90,0.681818,21.209,1.0,1.0,90.4545,0.883
99.04,104.4128,1.0,6.65743,datasets\sentinel2_100_patch\images\sentinel2_cems_0088.png,1.0,0.726663,utility_aware_100,0.636364,21.3213,1.0,1.0,89.0909,0.8893
99.74,380.2958,0.459187,6.293698,datasets\sentinel2_100_patch\images\sentinel2_cems_0089.png,0.1,0.793769,utility_aware_10,1.0,12.1713,0.216893,0.452613,59.5887,0.4612
99.61,259.301,0.456285,6.412177,datasets\sentinel2_100_patch\images\sentinel2_cems_0089.png,0.2,0.771677,utility_aware_20,1.0,14.5645,0.345151,0.460637,60.9156,0.617
99.51,202.5046,0.5414,6.602224,datasets\sentinel2_100_patch\images\sentinel2_cems_0089.png,0.3,0.758271,utility_aware_30,1.0,16.1,0.530761,0.543195,67.8275,0.6937
99.41,169.4122,0.612481,6.753778,datasets\sentinel2_100_patch\images\sentinel2_cems_0089.png,0.4,0.758234,utility_aware_40,1.0,17.3095,0.624609,0.620935,73.164,0.7416
99.32,147.1942,0.689266,6.747991,datasets\sentinel2_100_patch\images\sentinel2_cems_0089.png,0.5,0.758798,utility_aware_50,1.0,18.3606,0.75391,0.69386,78.987,0.775
99.24,130.8353,0.738948,6.718046,datasets\sentinel2_100_patch\images\sentinel2_cems_0089.png,0.6,0.759404,utility_aware_60,1.0,19.0641,0.82586,0.747713,82.7708,0.7953
99.16,118.4862,0.784905,6.989448,datasets\sentinel2_100_patch\images\sentinel2_cems_0089.png,0.7,0.75408,utility_aware_70,1.0,19.4927,0.865485,0.788663,85.8243,0.8103
99.08,108.3116,0.837493,7.124282,datasets\sentinel2_100_patch\images\sentinel2_cems_0089.png,0.8,0.746967,utility_aware_80,1.0,19.8298,0.909281,0.842393,89.4404,0.8211
99.02,101.9342,0.844732,7.216445,datasets\sentinel2_100_patch\images\sentinel2_cems_0089.png,0.9,0.743216,utility_aware_90,1.0,20.1867,0.907195,0.851037,89.882,0.8308
99.0,100.1232,0.886226,6.696696,datasets\sentinel2_100_patch\images\sentinel2_cems_0089.png,1.0,0.743139,utility_aware_100,1.0,20.3592,0.944734,0.892212,92.7406,0.8354
99.77,429.9199,0.253982,6.52347,datasets\sentinel2_100_patch\images\sentinel2_cems_0090.png,0.1,0.792779,utility_aware_10,1.0,11.145,0.197266,0.252151,47.175,0.2632
99.65,285.9829,0.454528,7.409694,datasets\sentinel2_100_patch\images\sentinel2_cems_0090.png,0.2,0.74575,utility_aware_20,1.0,12.6183,0.369141,0.452419,60.9209,0.4511
99.55,221.3014,0.633216,6.740571,datasets\sentinel2_100_patch\images\sentinel2_cems_0090.png,0.3,0.739528,utility_aware_30,1.0,14.5333,0.683594,0.623005,74.6247,0.6012
99.46,183.8847,0.698064,6.850251,datasets\sentinel2_100_patch\images\sentinel2_cems_0090.png,0.4,0.737987,utility_aware_40,1.0,16.0087,0.672852,0.691517,78.4814,0.6833
99.37,157.5023,0.749486,7.165281,datasets\sentinel2_100_patch\images\sentinel2_cems_0090.png,0.5,0.735227,utility_aware_50,1.0,16.9659,0.672852,0.744846,81.6049,0.7294
99.28,138.1632,0.828621,7.128793,datasets\sentinel2_100_patch\images\sentinel2_cems_0090.png,0.6,0.731387,utility_aware_60,1.0,17.7906,0.888672,0.831022,88.652,0.7622
99.2,124.7593,0.936062,6.710342,datasets\sentinel2_100_patch\images\sentinel2_cems_0090.png,0.7,0.731314,utility_aware_70,1.0,18.4627,1.0,0.939143,96.2253,0.7872
99.13,114.7071,0.938132,6.525982,datasets\sentinel2_100_patch\images\sentinel2_cems_0090.png,0.8,0.72969,utility_aware_80,1.0,19.1665,0.936523,0.939696,95.6844,0.8087
99.07,107.9559,1.0,7.147382,datasets\sentinel2_100_patch\images\sentinel2_cems_0090.png,0.9,0.726465,utility_aware_90,1.0,19.868,1.0,1.0,100.0,0.8284
99.06,105.8851,1.0,7.011565,datasets\sentinel2_100_patch\images\sentinel2_cems_0090.png,1.0,0.72686,utility_aware_100,1.0,20.3531,1.0,1.0,100.0,0.8406
99.73,376.8859,0.371037,6.716188,datasets\sentinel2_100_patch\images\sentinel2_cems_0091.png,0.1,0.78668,utility_aware_10,1.0,10.9669,0.34349,0.374111,55.7586,0.2683
99.6,252.4425,0.599765,6.876441,datasets\sentinel2_100_patch\images\sentinel2_cems_0091.png,0.2,0.77628,utility_aware_20,1.0,12.3721,0.789474,0.606914,74.0236,0.4086
99.49,194.3275,1.0,6.961051,datasets\sentinel2_100_patch\images\sentinel2_cems_0091.png,0.3,0.756911,utility_aware_30,1.0,14.6535,1.0,1.0,100.0,0.5322
99.38,161.0042,1.0,6.705632,datasets\sentinel2_100_patch\images\sentinel2_cems_0091.png,0.4,0.735834,utility_aware_40,1.0,16.1234,1.0,1.0,100.0,0.6064
99.28,138.1461,1.0,7.219904,datasets\sentinel2_100_patch\images\sentinel2_cems_0091.png,0.5,0.725182,utility_aware_50,1.0,17.048,1.0,1.0,100.0,0.6475
99.19,123.0577,1.0,7.113908,datasets\sentinel2_100_patch\images\sentinel2_cems_0091.png,0.6,0.717098,utility_aware_60,1.0,18.2488,1.0,1.0,100.0,0.6982
99.1,111.4722,1.0,7.064206,datasets\sentinel2_100_patch\images\sentinel2_cems_0091.png,0.7,0.70972,utility_aware_70,1.0,19.5738,1.0,1.0,100.0,0.7372
99.02,102.3676,1.0,6.920306,datasets\sentinel2_100_patch\images\sentinel2_cems_0091.png,0.8,0.704181,utility_aware_80,1.0,20.4585,1.0,1.0,100.0,0.7602
98.96,96.4285,1.0,6.624959,datasets\sentinel2_100_patch\images\sentinel2_cems_0091.png,0.9,0.700357,utility_aware_90,1.0,20.8612,1.0,1.0,100.0,0.7722
98.94,94.5544,1.0,7.012226,datasets\sentinel2_100_patch\images\sentinel2_cems_0091.png,1.0,0.709764,utility_aware_100,1.0,23.1503,1.0,1.0,100.0,0.812
99.77,438.6892,0.923914,6.78858,datasets\sentinel2_100_patch\images\sentinel2_cems_0092.png,0.1,0.87495,utility_aware_10,0.0,13.1453,0.295898,0.920559,58.3267,0.1952
99.66,296.9214,0.921023,6.886603,datasets\sentinel2_100_patch\images\sentinel2_cems_0092.png,0.2,0.878108,utility_aware_20,0.0,13.4967,0.319336,0.906716,58.1686,0.2968
99.56,229.3718,1.0,7.369874,datasets\sentinel2_100_patch\images\sentinel2_cems_0092.png,0.3,0.87885,utility_aware_30,0.0,13.8989,1.0,1.0,70.0,0.3729
99.47,189.8998,1.0,7.436811,datasets\sentinel2_100_patch\images\sentinel2_cems_0092.png,0.4,0.876418,utility_aware_40,0.0,14.3221,0.795898,1.0,67.959,0.4207
99.39,164.214,0.994593,7.868374,datasets\sentinel2_100_patch\images\sentinel2_cems_0092.png,0.5,0.87146,utility_aware_50,0.0,14.9571,0.766602,1.0,67.4497,0.4699
99.31,145.6659,0.940524,7.120885,datasets\sentinel2_100_patch\images\sentinel2_cems_0092.png,0.6,0.851573,utility_aware_60,0.0,15.5212,0.586914,0.966634,62.8228,0.5029
99.24,131.5798,0.951585,7.246558,datasets\sentinel2_100_patch\images\sentinel2_cems_0092.png,0.7,0.838292,utility_aware_70,0.0,16.0658,0.77832,0.968907,65.2247,0.5364
99.18,121.4066,0.933566,6.889029,datasets\sentinel2_100_patch\images\sentinel2_cems_0092.png,0.8,0.817746,utility_aware_80,0.0,16.6022,0.853516,0.962481,65.1274,0.5783
99.12,113.8523,0.942415,7.360517,datasets\sentinel2_100_patch\images\sentinel2_cems_0092.png,0.9,0.799221,utility_aware_90,0.0,17.0952,0.958984,0.981081,66.908,0.6159
99.1,111.3455,0.97223,7.427161,datasets\sentinel2_100_patch\images\sentinel2_cems_0092.png,1.0,0.78725,utility_aware_100,0.0,17.539,1.0,0.996489,68.819,0.6506
99.76,421.5471,0.654913,6.65014,datasets\sentinel2_100_patch\images\sentinel2_cems_0093.png,0.1,0.92572,utility_aware_10,1.0,10.9996,0.262332,0.641007,71.64,0.1759
99.65,281.7414,0.95967,7.180176,datasets\sentinel2_100_patch\images\sentinel2_cems_0093.png,0.2,0.904261,utility_aware_20,1.0,12.1943,0.843049,0.942592,95.6691,0.2812
99.54,218.3521,0.939869,7.14228,datasets\sentinel2_100_patch\images\sentinel2_cems_0093.png,0.3,0.887209,utility_aware_30,1.0,13.0381,1.0,0.937971,96.3542,0.3607
99.45,181.3039,0.928708,7.000604,datasets\sentinel2_100_patch\images\sentinel2_cems_0093.png,0.4,0.867554,utility_aware_40,1.0,13.9257,1.0,0.928809,95.7245,0.42
99.36,156.6669,1.0,7.189132,datasets\sentinel2_100_patch\images\sentinel2_cems_0093.png,0.5,0.847516,utility_aware_50,1.0,15.5664,1.0,1.0,100.0,0.4798
99.27,137.7698,1.0,7.612546,datasets\sentinel2_100_patch\images\sentinel2_cems_0093.png,0.6,0.828481,utility_aware_60,1.0,16.0427,1.0,1.0,100.0,0.507
99.2,124.9951,1.0,7.044662,datasets\sentinel2_100_patch\images\sentinel2_cems_0093.png,0.7,0.810996,utility_aware_70,1.0,16.6794,1.0,1.0,100.0,0.5347
99.13,114.9674,1.0,7.10061,datasets\sentinel2_100_patch\images\sentinel2_cems_0093.png,0.8,0.793754,utility_aware_80,1.0,17.5962,1.0,1.0,100.0,0.5592
99.07,108.0224,0.982884,7.713984,datasets\sentinel2_100_patch\images\sentinel2_cems_0093.png,0.9,0.778502,utility_aware_90,1.0,18.3841,1.0,1.0,99.3153,0.5834
99.04,104.2228,1.0,7.524193,datasets\sentinel2_100_patch\images\sentinel2_cems_0093.png,1.0,0.782487,utility_aware_100,1.0,20.9133,1.0,1.0,100.0,0.6286
99.74,391.2099,0.146428,6.781906,datasets\sentinel2_100_patch\images\sentinel2_cems_0094.png,0.1,0.780036,utility_aware_10,0.533333,10.7548,0.095652,0.146235,25.7383,0.1182
99.62,266.4497,0.293089,6.885586,datasets\sentinel2_100_patch\images\sentinel2_cems_0094.png,0.2,0.747421,utility_aware_20,1.0,11.591,0.35,0.287339,50.9704,0.2339
99.51,205.3923,0.415387,6.878788,datasets\sentinel2_100_patch\images\sentinel2_cems_0094.png,0.3,0.730374,utility_aware_30,1.0,12.966,0.504348,0.417494,60.0088,0.3768
99.42,171.4504,0.590672,6.694544,datasets\sentinel2_100_patch\images\sentinel2_cems_0094.png,0.4,0.723765,utility_aware_40,1.0,13.6762,0.726087,0.59649,72.8176,0.4439
99.32,147.3269,0.665858,6.954874,datasets\sentinel2_100_patch\images\sentinel2_cems_0094.png,0.5,0.712945,utility_aware_50,1.0,14.5444,0.776087,0.670487,77.8049,0.5099
99.23,129.5089,0.762727,6.917597,datasets\sentinel2_100_patch\images\sentinel2_cems_0094.png,0.6,0.719155,utility_aware_60,1.0,17.7184,0.806522,0.787728,84.3289,0.641
99.15,117.2577,0.698338,6.84983,datasets\sentinel2_100_patch\images\sentinel2_cems_0094.png,0.7,0.719363,utility_aware_70,1.0,18.9819,0.654348,0.719798,78.873,0.6745
99.08,108.1673,0.730089,7.542073,datasets\sentinel2_100_patch\images\sentinel2_cems_0094.png,0.8,0.725363,utility_aware_80,1.0,20.5913,0.595652,0.756703,80.2941,0.7011
99.02,101.5365,0.743414,7.717618,datasets\sentinel2_100_patch\images\sentinel2_cems_0094.png,0.9,0.731623,utility_aware_90,1.0,21.6517,0.584783,0.769058,80.9656,0.7142
98.99,99.3985,0.983949,6.968638,datasets\sentinel2_100_patch\images\sentinel2_cems_0094.png,1.0,0.738583,utility_aware_100,1.0,22.4674,0.847826,1.0,97.8362,0.7257
99.77,435.5137,0.199755,6.606093,datasets\sentinel2_100_patch\images\sentinel2_cems_0095.png,0.1,0.809235,utility_aware_10,1.0,10.5772,0.074219,0.197591,42.6842,0.186
99.66,291.9175,0.328571,7.017228,datasets\sentinel2_100_patch\images\sentinel2_cems_0095.png,0.2,0.770488,utility_aware_20,1.0,11.3679,0.183594,0.329636,51.5715,0.2991
99.56,226.6905,0.411478,6.662137,datasets\sentinel2_100_patch\images\sentinel2_cems_0095.png,0.3,0.737892,utility_aware_30,1.0,12.1272,0.183594,0.41142,56.5234,0.3906
99.47,188.2193,0.541783,7.099788,datasets\sentinel2_100_patch\images\sentinel2_cems_0095.png,0.4,0.724334,utility_aware_40,1.0,13.0403,0.338867,0.54679,65.9958,0.4714
99.38,160.7859,0.660096,6.499284,datasets\sentinel2_100_patch\images\sentinel2_cems_0095.png,0.5,0.720537,utility_aware_50,1.0,13.8562,0.402344,0.679586,74.019,0.5324
99.3,141.9741,0.670556,6.991801,datasets\sentinel2_100_patch\images\sentinel2_cems_0095.png,0.6,0.712616,utility_aware_60,1.0,14.7635,0.354492,0.702311,74.4134,0.5912
99.22,128.342,0.802013,7.539419,datasets\sentinel2_100_patch\images\sentinel2_cems_0095.png,0.7,0.71836,utility_aware_70,1.0,15.7783,0.433594,0.820474,82.8259,0.6485
99.15,117.2537,0.827025,7.440809,datasets\sentinel2_100_patch\images\sentinel2_cems_0095.png,0.8,0.722554,utility_aware_80,1.0,16.6934,0.410156,0.847606,84.1347,0.6896
99.09,109.8642,0.808922,6.891891,datasets\sentinel2_100_patch\images\sentinel2_cems_0095.png,0.9,0.730254,utility_aware_90,1.0,17.6141,0.361328,0.833764,82.6454,0.7215
99.07,107.3859,0.739385,6.956978,datasets\sentinel2_100_patch\images\sentinel2_cems_0095.png,1.0,0.744888,utility_aware_100,1.0,18.1518,0.31543,0.784446,78.4186,0.7338
99.68,312.5969,0.331668,6.049722,datasets\sentinel2_100_patch\images\sentinel2_cems_0096.png,0.1,0.686703,utility_aware_10,1.0,14.7953,0.278027,0.332022,52.6874,0.2514
99.52,208.9455,0.396981,7.013636,datasets\sentinel2_100_patch\images\sentinel2_cems_0096.png,0.2,0.623519,utility_aware_20,1.0,17.2864,0.408072,0.405187,58.0637,0.522
99.38,160.5444,0.415148,6.533708,datasets\sentinel2_100_patch\images\sentinel2_cems_0096.png,0.3,0.590427,utility_aware_30,1.0,19.0601,0.38565,0.425912,58.9806,0.6434
99.25,133.1678,0.577874,6.49123,datasets\sentinel2_100_patch\images\sentinel2_cems_0096.png,0.4,0.578643,utility_aware_40,1.0,19.7575,0.636771,0.60282,71.5391,0.6795
99.14,116.5573,0.66638,7.350567,datasets\sentinel2_100_patch\images\sentinel2_cems_0096.png,0.5,0.568365,utility_aware_50,1.0,20.3503,0.623318,0.691781,76.724,0.7054
99.05,105.0752,0.677801,7.590396,datasets\sentinel2_100_patch\images\sentinel2_cems_0096.png,0.6,0.567302,utility_aware_60,1.0,21.4812,0.605381,0.701085,77.1876,0.746
98.96,96.4116,0.775202,7.446409,datasets\sentinel2_100_patch\images\sentinel2_cems_0096.png,0.7,0.562251,utility_aware_70,1.0,22.9674,0.672646,0.811492,83.9644,0.7809
98.9,90.6933,0.807258,6.951404,datasets\sentinel2_100_patch\images\sentinel2_cems_0096.png,0.8,0.562335,utility_aware_80,1.0,23.9225,0.820628,0.834489,87.1864,0.8035
98.84,86.189,0.916683,7.008116,datasets\sentinel2_100_patch\images\sentinel2_cems_0096.png,0.9,0.558043,utility_aware_90,1.0,24.0976,0.932735,0.943476,94.8642,0.8138
98.85,86.8221,1.0,6.767978,datasets\sentinel2_100_patch\images\sentinel2_cems_0096.png,1.0,0.559478,utility_aware_100,1.0,27.4662,1.0,1.0,100.0,0.8539
99.74,384.9603,0.328881,6.511038,datasets\sentinel2_100_patch\images\sentinel2_cems_0097.png,0.1,0.714422,utility_aware_10,1.0,13.9137,0.189453,0.3145,51.3398,0.4283
99.61,258.6846,0.4026,6.523541,datasets\sentinel2_100_patch\images\sentinel2_cems_0097.png,0.2,0.667394,utility_aware_20,1.0,15.8629,0.280273,0.400936,56.9255,0.6529
99.5,198.716,0.530743,6.370224,datasets\sentinel2_100_patch\images\sentinel2_cems_0097.png,0.3,0.658126,utility_aware_30,1.0,17.1146,0.394531,0.514446,65.464,0.7455
99.4,166.9286,0.588325,6.903986,datasets\sentinel2_100_patch\images\sentinel2_cems_0097.png,0.4,0.646672,utility_aware_40,1.0,17.795,0.391602,0.570668,68.8624,0.785
99.32,146.6223,0.815451,6.460793,datasets\sentinel2_100_patch\images\sentinel2_cems_0097.png,0.5,0.640295,utility_aware_50,1.0,18.4524,0.612305,0.797023,84.6815,0.8174
99.25,133.1483,0.825558,7.251124,datasets\sentinel2_100_patch\images\sentinel2_cems_0097.png,0.6,0.632208,utility_aware_60,1.0,18.9775,0.585938,0.801751,84.9167,0.8383
99.19,123.4145,0.82955,7.02866,datasets\sentinel2_100_patch\images\sentinel2_cems_0097.png,0.7,0.629805,utility_aware_70,1.0,19.6264,0.551758,0.806925,84.8381,0.8595
99.13,114.8155,0.790876,7.359002,datasets\sentinel2_100_patch\images\sentinel2_cems_0097.png,0.8,0.627161,utility_aware_80,1.0,19.922,0.5,0.768722,82.0095,0.8673
99.07,107.7558,0.848088,7.385457,datasets\sentinel2_100_patch\images\sentinel2_cems_0097.png,0.9,0.628044,utility_aware_90,1.0,20.1372,0.591797,0.825647,86.3544,0.8721
99.05,105.1491,0.997276,7.657974,datasets\sentinel2_100_patch\images\sentinel2_cems_0097.png,1.0,0.619892,utility_aware_100,1.0,20.3795,0.902344,0.968026,98.275,0.8784
99.6,250.301,0.259274,5.53044,datasets\sentinel2_100_patch\images\sentinel2_cems_0098.png,0.1,0.613689,utility_aware_10,0.25,17.9346,0.179104,0.316456,25.9911,0.7754
99.41,168.3679,0.238361,6.172632,datasets\sentinel2_100_patch\images\sentinel2_cems_0098.png,0.2,0.43557,utility_aware_20,1.0,20.6106,0.38806,0.244228,48.2996,0.7997
99.25,133.5143,0.520133,6.027488,datasets\sentinel2_100_patch\images\sentinel2_cems_0098.png,0.3,0.385194,utility_aware_30,1.0,24.76,0.522388,0.519244,66.4141,0.8897
99.11,112.3993,0.656593,5.873413,datasets\sentinel2_100_patch\images\sentinel2_cems_0098.png,0.4,0.366822,utility_aware_40,1.0,26.4818,0.671642,0.654094,76.062,0.9116
98.99,98.7474,0.746738,6.058284,datasets\sentinel2_100_patch\images\sentinel2_cems_0098.png,0.5,0.354938,utility_aware_50,1.0,27.9972,0.820896,0.745578,82.99,0.9254
98.89,89.9874,0.793981,6.386469,datasets\sentinel2_100_patch\images\sentinel2_cems_0098.png,0.6,0.354885,utility_aware_60,1.0,28.5953,0.880597,0.792867,86.4226,0.9302
98.81,84.0975,0.816335,5.803488,datasets\sentinel2_100_patch\images\sentinel2_cems_0098.png,0.7,0.355535,utility_aware_70,1.0,28.6127,0.895522,0.815543,87.9195,0.9322
98.75,80.1674,0.876853,6.099088,datasets\sentinel2_100_patch\images\sentinel2_cems_0098.png,0.8,0.361652,utility_aware_80,1.0,29.766,0.970149,0.875579,92.2872,0.9395
98.73,78.8554,0.926856,6.12656,datasets\sentinel2_100_patch\images\sentinel2_cems_0098.png,0.9,0.363811,utility_aware_90,1.0,30.5605,1.0,0.925235,95.5789,0.9445
98.76,80.9397,0.954567,5.823854,datasets\sentinel2_100_patch\images\sentinel2_cems_0098.png,1.0,0.367072,utility_aware_100,1.0,30.8455,1.0,0.95277,97.2381,0.9461
99.7,331.7886,0.254567,5.349567,datasets\sentinel2_100_patch\images\sentinel2_cems_0099.png,0.1,0.668948,utility_aware_10,0.95,12.9218,0.235714,0.242888,45.8976,0.3667
99.56,228.4148,0.792315,6.459698,datasets\sentinel2_100_patch\images\sentinel2_cems_0099.png,0.2,0.636428,utility_aware_20,0.95,18.4513,0.890476,0.746861,84.0346,0.8397
99.41,170.3979,1.0,6.113027,datasets\sentinel2_100_patch\images\sentinel2_cems_0099.png,0.3,0.60796,utility_aware_30,1.0,20.6192,1.0,0.941679,98.8336,0.911
99.27,137.5976,1.0,6.292618,datasets\sentinel2_100_patch\images\sentinel2_cems_0099.png,0.4,0.576109,utility_aware_40,1.0,21.4203,1.0,1.0,100.0,0.9275
99.17,120.1363,1.0,7.167442,datasets\sentinel2_100_patch\images\sentinel2_cems_0099.png,0.5,0.5686,utility_aware_50,1.0,21.7568,1.0,1.0,100.0,0.9331
99.08,109.0433,1.0,6.573943,datasets\sentinel2_100_patch\images\sentinel2_cems_0099.png,0.6,0.560229,utility_aware_60,1.0,22.1105,1.0,1.0,100.0,0.9392
99.0,100.1968,1.0,6.622895,datasets\sentinel2_100_patch\images\sentinel2_cems_0099.png,0.7,0.55587,utility_aware_70,1.0,22.432,1.0,1.0,100.0,0.9446
98.94,93.9897,1.0,6.745205,datasets\sentinel2_100_patch\images\sentinel2_cems_0099.png,0.8,0.548129,utility_aware_80,1.0,22.8003,1.0,1.0,100.0,0.9504
98.89,90.4283,1.0,7.051886,datasets\sentinel2_100_patch\images\sentinel2_cems_0099.png,0.9,0.543639,utility_aware_90,1.0,23.1477,1.0,1.0,100.0,0.9559
98.91,91.6767,1.0,7.203329,datasets\sentinel2_100_patch\images\sentinel2_cems_0099.png,1.0,0.541882,utility_aware_100,1.0,23.3983,1.0,1.0,100.0,0.9602
