bandwidth_saved_percent_ci_high,bandwidth_saved_percent_ci_low,bandwidth_saved_percent_mean,bandwidth_saved_percent_std,compression_ratio_ci_high,compression_ratio_ci_low,compression_ratio_mean,compression_ratio_std,detector_retention_ci_high,detector_retention_ci_low,detector_retention_mean,detector_retention_std,lpips_ci_high,lpips_ci_low,lpips_mean,lpips_std,method,n_images,psnr_ci_high,psnr_ci_low,psnr_mean,psnr_std,semantic_utility_score_ci_high,semantic_utility_score_ci_low,semantic_utility_score_mean,semantic_utility_score_std,ssim_ci_high,ssim_ci_low,ssim_mean,ssim_std
99.364102,99.338795,99.3519,0.068941,158.411263,153.011715,155.772896,14.566241,0.781163,0.702996,0.741052,0.199676,0.735078,0.697198,0.716684,0.097347,full_system,100,16.188786,15.087539,15.6188,2.767543,82.562042,76.666433,79.52222,15.119495,0.656909,0.593825,0.626594,0.167078
98.9991,98.969498,98.9846,0.079803,100.430528,97.658517,99.083105,7.420804,0.964646,0.928786,0.94718,0.094624,0.68455,0.653534,0.670224,0.08073,without_adaptive_transmission,100,22.464073,21.506984,21.978212,2.63356,94.573177,91.111633,92.808197,8.746968,0.852878,0.831406,0.842059,0.056675
99.360805,99.335298,99.3484,0.068575,157.512164,152.258657,154.930845,14.313192,0.77118,0.690359,0.729848,0.204963,0.735803,0.697397,0.717467,0.0965,without_detector_confidence,100,15.87822,14.830959,15.337993,2.59992,81.606573,75.110583,78.352427,16.380118,0.640887,0.577642,0.609957,0.16108
99.364,99.3383,99.3515,0.069068,158.209195,152.876361,155.599305,14.530185,0.782698,0.703737,0.742883,0.200129,0.735542,0.697366,0.717103,0.097376,without_energy_term,100,16.1485,15.021657,15.566284,2.760932,82.646613,76.613504,79.534372,15.049374,0.654311,0.590926,0.624323,0.166613
99.366,99.340995,99.3539,0.068252,158.855184,153.601235,156.314237,14.540401,0.791832,0.714814,0.752169,0.195912,0.735284,0.697318,0.716984,0.096475,without_entropy,100,16.392045,15.289797,15.814315,2.875066,83.316923,77.477885,80.231215,15.03703,0.662329,0.599468,0.631791,0.167584
99.356302,99.3311,99.3443,0.068287,156.444834,151.267278,153.939155,14.022657,0.736125,0.656048,0.694483,0.207755,0.73277,0.696585,0.715179,0.09118,without_utility_map,100,15.219449,14.224042,14.703218,2.493928,78.151039,72.07575,74.924822,16.206889,0.495784,0.454108,0.4735,0.108875
