dataset,checkpoint,image,semantic_utility_score,detector_retention,object_retention,relevance_retention,region_preservation,psnr,ssim,lpips,compression_ratio,bandwidth_saved_percent,semantic_token_count,total_token_count,inference_latency_ms
cems_hls,original,0302bae17f987bedfd192b18bed9c15afda422ca_satellite.tif,79.39322711629345,0.723657488822937,1.0,0.7109941244125366,0.6227045075125208,24.505638992863542,0.9787148481376543,,638.1098403107467,99.84328716831682,3277,4096,909.2173000026378
cems_hls,cems_hls_finetuned,0302bae17f987bedfd192b18bed9c15afda422ca_satellite.tif,91.49333430849055,0.871471107006073,1.0,0.8609398603439331,0.9415692821368948,24.29314088390886,0.9787443802265368,,659.01515489191,99.84825842128562,3277,4096,584.8741000008886
cems_hls,original,0338456606877f2018b070a8a06804b9fc70765a_satellite.tif,96.054119752801,0.9682682752609253,0.9565217391304348,0.9636133909225464,0.935546875,21.122929285837365,0.9102064365323296,,580.0531007751938,99.82760199046197,3277,4096,489.1916000051424
cems_hls,cems_hls_finetuned,0338456606877f2018b070a8a06804b9fc70765a_satellite.tif,100.0,1.0,1.0,1.0,1.0,21.129000869310058,0.9093128335199345,,569.56688867745,99.82442799610033,3277,4096,473.4866999933729
cems_hls,original,03ba6769b8337f17cc86419368b478640ff8b57f_satellite.tif,92.25806451612904,1.0,0.7419354838709677,1.0,1.0,19.421027034470068,0.8837709007716313,,550.5901859306115,99.81837671183517,3277,4096,497.8329000005033
cems_hls,cems_hls_finetuned,03ba6769b8337f17cc86419368b478640ff8b57f_satellite.tif,99.03225806451614,1.0,0.967741935483871,1.0,1.0,19.45897870420358,0.8852842178704976,,542.2746837832735,99.8155916125342,3277,4096,487.3737000016263
cems_hls,original,04bca85f1957d7094686145324a8e543436eced9_satellite.tif,93.47826086956523,1.0,0.782608695652174,1.0,1.0,19.5471139313433,0.8538731191700891,,545.8724177505738,99.81680701067096,3277,4096,512.0030999969458
cems_hls,cems_hls_finetuned,04bca85f1957d7094686145324a8e543436eced9_satellite.tif,93.47826086956523,1.0,0.782608695652174,1.0,1.0,19.592125658714483,0.8479058923413458,,534.4234082397004,99.81288244777791,3277,4096,521.2653999988106
cems_hls,original,059b514d21a7482d3e54de423c63b051b96a533e_satellite.tif,100.0,1.0,1.0,1.0,1.0,16.44870731516185,0.7429955936274382,,522.5920425375871,99.80864614869674,3277,4096,517.8016000063508
cems_hls,cems_hls_finetuned,059b514d21a7482d3e54de423c63b051b96a533e_satellite.tif,100.0,1.0,1.0,1.0,1.0,17.269769670107497,0.776622669693446,,510.8831331779889,99.80426051770796,3277,4096,510.68259999738075
cems_hls,original,07849dcf5b7480d15db8890f015522011ce38868_satellite.tif,85.37022148861607,0.9961883425712585,0.5294117647058824,0.9820167422294617,1.0,19.24782438233622,0.8840047926312689,,559.0131941709334,99.82111334572646,3277,4096,473.5549000033643
cems_hls,cems_hls_finetuned,07849dcf5b7480d15db8890f015522011ce38868_satellite.tif,94.51887369155885,0.9145998954772949,1.0,0.907974362373352,0.9775390625,19.00297468833394,0.8859152537579271,,548.5350724637681,99.81769625130651,3277,4096,478.0587999994168
cems_hls,original,0868a5a61f73aa0214d4f02f140c09ab7af18801_satellite.tif,100.0,1.0,1.0,1.0,1.0,11.073793590364886,0.3211305725068627,,561.8727168949772,99.82202374845211,3277,4096,514.6443000048748
cems_hls,cems_hls_finetuned,0868a5a61f73aa0214d4f02f140c09ab7af18801_satellite.tif,97.18750000000001,1.0,0.90625,1.0,1.0,19.221474702803235,0.8926888848935691,,555.5310383747178,99.81999205608284,3277,4096,492.4016000004485
cems_hls,original,090cf934a893bc7c5d9d6927a38bd55152b97c03_satellite.tif,100.0,1.0,1.0,1.0,1.0,21.40660180364754,0.9517979072573359,,568.5826249222475,99.82412406637702,3277,4096,484.3442999990657
cems_hls,cems_hls_finetuned,090cf934a893bc7c5d9d6927a38bd55152b97c03_satellite.tif,100.0,1.0,1.0,1.0,1.0,21.73295692679406,0.9539553620811131,,551.8764338901187,99.81880001779545,3277,4096,477.3886000039056
cems_hls,original,0d3c84ef13dd48f7b3ee33cc192ae8d06ee506a5_satellite.tif,93.1818181818182,1.0,0.7727272727272727,1.0,1.0,17.99421766992547,0.8363130246992648,,524.4259702041567,99.80931531678138,3277,4096,515.0317999941763
cems_hls,cems_hls_finetuned,0d3c84ef13dd48f7b3ee33cc192ae8d06ee506a5_satellite.tif,100.0,1.0,1.0,1.0,1.0,18.55124573672501,0.8359360764583867,,515.6065099457504,99.80605365124168,3277,4096,502.20180000178516
cems_hls,original,0f2ccb5eadc2e1044e777b907dbf798b732c0136_satellite.tif,100.0,1.0,1.0,1.0,1.0,17.853754565724472,0.8363921974485864,,542.4927701674277,99.81566574616444,3277,4096,534.6005999963381
cems_hls,cems_hls_finetuned,0f2ccb5eadc2e1044e777b907dbf798b732c0136_satellite.tif,100.0,1.0,1.0,1.0,1.0,17.944160672249147,0.8398513281267644,,535.7651258925216,99.81335104662998,3277,4096,498.50779999542283
cems_hls,original,0fe3b45ae538ba84a676e2c217c8ec488da64f1b_satellite.tif,94.95729255676271,0.9976969957351685,0.85,0.9774706363677979,1.0,19.607956260108978,0.9083126062555578,,551.0444155361457,99.81852642512908,3277,4096,507.47820000106003
cems_hls,cems_hls_finetuned,0fe3b45ae538ba84a676e2c217c8ec488da64f1b_satellite.tif,100.0,1.0,1.0,1.0,1.0,19.81625819120067,0.9113960796365758,,542.3760746295958,99.81562608551955,3277,4096,509.8271999959252
cems_hls,original,0ff78985c905f8a6c4c4d4f9a858876d90004fef_satellite.tif,100.0,1.0,1.0,1.0,1.0,23.24675278952983,0.9705253158355075,,544.5550371155886,99.81636383251603,3277,4096,460.3415000019595
cems_hls,cems_hls_finetuned,0ff78985c905f8a6c4c4d4f9a858876d90004fef_satellite.tif,100.0,1.0,1.0,1.0,1.0,23.58771612433957,0.9733391693468362,,543.8629527642448,99.81613014916397,3277,4096,457.09550000174204
cems_hls,original,11d71d8f10eeed62b0ea69cdfe375e9484fdfd57_satellite.tif,98.07246580806415,0.9800224304199219,1.0,0.9716248512268066,0.9439071566731141,23.991461678815917,0.9645644770701615,,715.8653846153846,99.86030893216923,3277,4096,408.45419999823207
cems_hls,cems_hls_finetuned,11d71d8f10eeed62b0ea69cdfe375e9484fdfd57_satellite.tif,97.13300589436031,0.9631212949752808,1.0,0.9603883624076843,0.9400386847195358,24.72486558017563,0.9747523467833441,,717.0144462279294,99.86053279606,3277,4096,382.47989999945275
cems_hls,original,13fcf3edc84e617e2232fd36056f06389cf95022_satellite.tif,98.46119880676272,0.9938522577285767,1.0,0.9778358936309814,0.9150390625,19.16172989223095,0.8833077714310931,,560.2831465017395,99.82151881486286,3277,4096,502.00589999440126
cems_hls,cems_hls_finetuned,13fcf3edc84e617e2232fd36056f06389cf95022_satellite.tif,99.36861872673035,0.9933760762214661,1.0,0.9816787838935852,1.0,19.477227345594454,0.8911139420912926,,546.2417561710948,99.81693087562373,3277,4096,544.8727000039071
cems_hls,original,15c2b7d2fdd3407ab45aac87ca735904f183358f_satellite.tif,100.0,1.0,1.0,1.0,1.0,20.008713798811083,0.9046510968702324,,560.912152846169,99.82171896349084,3277,4096,579.8558000024059
cems_hls,cems_hls_finetuned,15c2b7d2fdd3407ab45aac87ca735904f183358f_satellite.tif,100.0,1.0,1.0,1.0,1.0,19.897010813028086,0.9034567169644424,,551.248741773132,99.8185936902489,3277,4096,551.8880000017816
cems_hls,original,1711a4e1785078f0db6aed4dd9135ed9ede9ea79_satellite.tif,100.0,1.0,1.0,1.0,1.0,11.633063901179108,0.3380313168236283,,566.1192484662577,99.82335877066375,3277,4096,661.433199995372
cems_hls,cems_hls_finetuned,1711a4e1785078f0db6aed4dd9135ed9ede9ea79_satellite.tif,100.0,1.0,1.0,1.0,1.0,12.244274699311251,0.4147002886137022,,558.6223987892546,99.8209882020185,3277,4096,562.6007000028039
cems_hls,original,17a7c59c0eac2673bedbb6281b1a4f1c792ae4be_satellite.tif,91.94831876754763,0.9877411723136902,0.76,1.0,0.9638671875,20.163083126001638,0.8649865303632249,,554.036837029894,99.81950658635608,3277,4096,596.1496000018087
cems_hls,cems_hls_finetuned,17a7c59c0eac2673bedbb6281b1a4f1c792ae4be_satellite.tif,100.0,1.0,1.0,1.0,1.0,20.036983960963056,0.8646122542144694,,545.2042133232112,99.816582488623,3277,4096,570.883699998376
cems_hls,original,1c805ec597141c129c019dae64aed9188913de87_satellite.tif,100.0,1.0,1.0,1.0,1.0,17.665384374550904,0.8009685116506539,,527.4128913443831,99.8103952299211,3277,4096,582.5354000044172
cems_hls,cems_hls_finetuned,1c805ec597141c129c019dae64aed9188913de87_satellite.tif,100.0,1.0,1.0,1.0,1.0,17.987047169950216,0.8028290715129778,,517.4077687443541,99.80672883933947,3277,4096,580.003899995063
cems_hls,original,20fc0d00954cf6c136d93400f32f6693cc130134_satellite.tif,100.0,1.0,1.0,1.0,1.0,17.170314267811325,0.8038723810514081,,542.8400995787055,99.81578369011868,3277,4096,545.8613000009791
cems_hls,cems_hls_finetuned,20fc0d00954cf6c136d93400f32f6693cc130134_satellite.tif,98.13298344612123,0.9667626023292542,1.0,0.9731239676475525,1.0,18.43009901980554,0.8293187478640461,,531.9405141677613,99.81200905489132,3277,4096,526.0576000000583
cems_hls,original,2961d687b23372fb1938a0b6cfc5fe3c4607dbec_satellite.tif,99.30029543811514,1.0,1.0,0.9834035634994507,0.9632224168126094,25.381312419436,0.9751083413042131,,718.461762563729,99.8608137479117,3277,4096,436.51820000377484
cems_hls,cems_hls_finetuned,2961d687b23372fb1938a0b6cfc5fe3c4607dbec_satellite.tif,89.71881858104167,1.0,0.6666666666666666,0.9973244667053223,0.9772329246935202,26.149964163253795,0.9807323159173983,,723.4675467546755,99.86177679918252,3277,4096,425.09489999793004
cems_hls,original,37cd0afc3c489cb87dd3580436ff5396d95ffa3a_satellite.tif,86.45161290322582,1.0,0.5483870967741935,1.0,1.0,17.408049960269324,0.8229750349287818,,539.545147995504,99.8146586984027,3277,4096,565.6003999974928
cems_hls,cems_hls_finetuned,37cd0afc3c489cb87dd3580436ff5396d95ffa3a_satellite.tif,97.09677419354841,1.0,0.9032258064516129,1.0,1.0,18.58631661210676,0.8674634548257945,,525.7561153705732,99.80979774257212,3277,4096,571.958699998504
cems_hls,original,39103442c5a4cfae25717678bc185c94c0ae955d_satellite.tif,100.0,1.0,1.0,1.0,1.0,19.129958274438582,0.8695505422952676,,551.4742326638878,99.81866786501166,3277,4096,575.2936999997473
cems_hls,cems_hls_finetuned,39103442c5a4cfae25717678bc185c94c0ae955d_satellite.tif,100.0,1.0,1.0,1.0,1.0,19.23631003076335,0.8663860468410397,,542.3292342090554,99.81561016133338,3277,4096,601.9049000024097
cems_hls,original,429ee4ce3ca381543b8aeaecd62db3de1802d986_satellite.tif,100.0,1.0,1.0,1.0,1.0,18.781326893910204,0.8542613293791387,,590.5328975115984,99.83066142390817,3277,4096,645.1938999962294
cems_hls,cems_hls_finetuned,429ee4ce3ca381543b8aeaecd62db3de1802d986_satellite.tif,96.09067320823671,0.9473282098770142,1.0,0.9298967719078064,0.9599609375,19.000828237238704,0.8540894397105422,,581.338384886859,99.82798314613362,3277,4096,600.2321999985725
cems_hls,original,483ecab019cd9dd92c1a160523f73a11189e01ed_satellite.tif,100.0,1.0,1.0,1.0,1.0,19.4150494800507,0.8647672268441345,,538.8853149530921,99.81443175899365,3277,4096,624.8316999990493
cems_hls,cems_hls_finetuned,483ecab019cd9dd92c1a160523f73a11189e01ed_satellite.tif,100.0,1.0,1.0,1.0,1.0,19.84582166545571,0.8661432968891587,,526.7823320232079,99.81016827269826,3277,4096,523.4799000027124
cems_hls,original,4c647e695e17c6f740c9f90a1d69141674732878_satellite.tif,93.52034300310163,1.0,0.7857142857142857,1.0,0.9948914431673053,23.908744827569105,0.9724424383884014,,594.2745721271393,99.83172761432134,3277,4096,465.56089999648975
cems_hls,cems_hls_finetuned,4c647e695e17c6f740c9f90a1d69141674732878_satellite.tif,99.80842911877397,1.0,1.0,1.0,0.9808429118773946,24.080830211613865,0.9764182189001068,,581.201099952176,99.82794251420339,3277,4096,515.9706999984337
cems_hls,original,4c8b01bc8e5c15eb8b63d78f9db375dc2b566bb3_satellite.tif,95.90909090909092,1.0,0.8636363636363636,1.0,1.0,19.9895624033964,0.9214066659217827,,557.0327937775909,99.82047735588091,3277,4096,564.6053000018583
cems_hls,cems_hls_finetuned,4c8b01bc8e5c15eb8b63d78f9db375dc2b566bb3_satellite.tif,100.0,1.0,1.0,1.0,1.0,20.39133301119563,0.9331783384788646,,549.1823834196891,99.81791112930951,3277,4096,536.9833000004292
cems_hls,original,50cff3617ff6999f46dec03ed979fca485e143c4_satellite.tif,98.33333333333336,1.0,0.9444444444444444,1.0,1.0,17.81354558111406,0.8124041346747012,,522.9979485266691,99.80879466108479,3277,4096,602.4216000005254
cems_hls,cems_hls_finetuned,50cff3617ff6999f46dec03ed979fca485e143c4_satellite.tif,100.0,1.0,1.0,1.0,1.0,18.040658438724844,0.8196668261570689,,516.6387251289609,99.80644114516379,3277,4096,567.2048999986146
cems_hls,original,5f60f898ebecb15d416d154f73dfd66d560e83fb_satellite.tif,100.0,1.0,1.0,1.0,1.0,16.125846880288613,0.8119058552187267,,551.9219088937093,99.81881494757032,3277,4096,591.5824999974575
cems_hls,cems_hls_finetuned,5f60f898ebecb15d416d154f73dfd66d560e83fb_satellite.tif,84.27408759410567,0.9020969271659851,0.6923076923076923,0.8905802369117737,0.9609375,17.70606475805675,0.8378399366361543,,534.1213740458015,99.81277663681098,3277,4096,517.8416999988258
cems_hls,original,680ed6ceb92a204f2f861899707b9918386669b5_satellite.tif,100.0,1.0,1.0,1.0,1.0,17.036387190017294,0.7944333296042705,,538.6988395652975,99.81436752289889,3277,4096,584.7596999956295
cems_hls,cems_hls_finetuned,680ed6ceb92a204f2f861899707b9918386669b5_satellite.tif,100.0,1.0,1.0,1.0,1.0,17.123245781355894,0.7996311703225844,,528.4777737621973,99.8107772834265,3277,4096,616.6266999935033
cems_hls,original,727d5d8a3c3a7711676e070ef9e42bec18a0f9cc_satellite.tif,100.0,1.0,1.0,1.0,1.0,17.254955283766183,0.7891610778259118,,546.4281397544854,99.81699331947851,3277,4096,589.3423999950755
cems_hls,cems_hls_finetuned,727d5d8a3c3a7711676e070ef9e42bec18a0f9cc_satellite.tif,100.0,1.0,1.0,1.0,1.0,17.30598231943846,0.7830324291688557,,540.305695611578,99.81491958938761,3277,4096,605.6581999946502
cems_hls,original,73b80461772625dc6397a658525dd390d2f7a4ef_satellite.tif,82.82369871161862,0.9533942341804504,0.55,0.932815670967102,0.9531615925058547,18.809383174592732,0.8762782927109589,,535.3192488262911,99.81319558334721,3277,4096,572.1759000007296
cems_hls,cems_hls_finetuned,73b80461772625dc6397a658525dd390d2f7a4ef_satellite.tif,100.0,1.0,1.0,1.0,1.0,19.074485847743755,0.881887855354456,,525.3547733136749,99.80965243854311,3277,4096,603.1943999987561
cems_hls,original,7bbc35bcb06a808a404e7e08ea0fea50957a2991_satellite.tif,100.0,1.0,1.0,1.0,1.0,19.809182769327286,0.9191806679565231,,572.083176985616,99.82520024356089,3277,4096,578.1772999980603
cems_hls,cems_hls_finetuned,7bbc35bcb06a808a404e7e08ea0fea50957a2991_satellite.tif,100.0,1.0,1.0,1.0,1.0,20.053129104510248,0.9218553852746271,,558.462148962149,99.82093683486724,3277,4096,578.0962999997428
cems_hls,original,7c8ff38336dd33500de54df1b69193c9000afe4b_satellite.tif,100.0,1.0,1.0,1.0,1.0,17.305544707895496,0.8007441279960495,,531.3515537251966,99.81180068205518,3277,4096,545.9108000068227
cems_hls,cems_hls_finetuned,7c8ff38336dd33500de54df1b69193c9000afe4b_satellite.tif,99.64088439941409,1.0,1.0,0.9820442199707031,1.0,17.38007580230003,0.8019885827534166,,521.4918243615654,99.80824243961557,3277,4096,555.9977000011713
cems_hls,original,7eb57d80720abfdda3caef0808b21852d40b6f92_satellite.tif,87.72727272727275,1.0,0.5909090909090909,1.0,1.0,19.486067515657616,0.8957673913105392,,441.44755774327905,99.7734725263603,3277,4096,535.2017999975942
cems_hls,cems_hls_finetuned,7eb57d80720abfdda3caef0808b21852d40b6f92_satellite.tif,93.1818181818182,1.0,0.7727272727272727,1.0,1.0,19.053798284950638,0.8708480382740112,,432.92350538432976,99.76901231105198,3277,4096,517.8327999965404
