epoch,train_loss,validation_loss,train_samples,validation_samples
1,0.009090970996112446,0.005291864928634217,1200,300
2,0.0039179514140899605,0.004124048230005428,1200,300
3,0.0034108096614606136,0.00387616881809663,1200,300
4,0.003185307424949618,0.0039403623744146896,1200,300
5,0.0030599237674929706,0.003936576855194289,1200,300
6,0.0029759000648603737,0.0038235761882970108,1200,300
7,0.0029035085228315436,0.003826382489448103,1200,300
8,0.002844018095335438,0.003845291087636724,1200,300
