bandwidth_saved_percent_ci_high,bandwidth_saved_percent_ci_low,bandwidth_saved_percent_mean,bandwidth_saved_percent_std,compression_ratio_ci_high,compression_ratio_ci_low,compression_ratio_mean,compression_ratio_std,detector_retention_ci_high,detector_retention_ci_low,detector_retention_mean,detector_retention_std,keep_ratio,lpips_ci_high,lpips_ci_low,lpips_mean,lpips_std,n_images,psnr_ci_high,psnr_ci_low,psnr_mean,psnr_std,semantic_utility_score_ci_high,semantic_utility_score_ci_low,semantic_utility_score_mean,semantic_utility_score_std,ssim_ci_high,ssim_ci_low,ssim_mean,ssim_std,variant
98.94293,98.91827,98.9306,0.062906,94.891692,92.711308,93.8015,5.562202,0.907003,0.849548,0.878275,0.146569,0.8,0.601325,0.569604,0.585465,0.080922,100,22.430096,21.181708,21.805902,3.184662,88.334159,82.729783,85.531971,14.29688,0.86994,0.840696,0.855318,0.074603,full_detail_aware
98.942947,98.918053,98.9305,0.063507,94.916183,92.725043,93.820613,5.589642,0.905747,0.847475,0.876611,0.148653,0.8,0.602007,0.570272,0.58614,0.080956,100,22.370332,21.112644,21.741488,3.20839,88.290208,82.659218,85.474713,14.364768,0.868484,0.838692,0.853588,0.075999,without_detail_term
